@RELATION overall_satisfaction

@ATTRIBUTE room_type {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews NUMERIC
@ATTRIBUTE overall_satisfaction NUMERIC
@ATTRIBUTE accommodates NUMERIC
@ATTRIBUTE bedrooms NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE latitude NUMERIC
@ATTRIBUTE longitude NUMERIC

@DATA
PrivateRoom,Eixample,46,9.0,4,2.0,108.0,41.382,2.16
PrivateRoom,Horta,35,10.0,1,1.0,36.0,41.408,2.169
EntireHome,Gracia,4,7.0,4,1.0,180.0,41.399,2.161
PrivateRoom,Eixample,158,10.0,2,1.0,60.0,41.386,2.159
PrivateRoom,Eixample,74,10.0,2,1.0,41.0,41.376,2.162
PrivateRoom,SantMarti,16,10.0,2,1.0,34.0,41.403,2.207
EntireHome,SantsMontjuic,10,7.0,14,5.0,121.0,41.376,2.135
PrivateRoom,Eixample,14,9.0,3,1.0,78.0,41.377,2.154
EntireHome,SantMarti,3,10.0,4,2.0,180.0,41.392,2.184
PrivateRoom,SantMarti,58,9.0,2,1.0,45.0,41.424,2.205
EntireHome,SantsMontjuic,4,9.0,2,1.0,82.0,41.364,2.134
EntireHome,Eixample,71,9.0,5,3.0,140.0,41.375,2.167
EntireHome,CiutatVella,7,10.0,2,1.0,132.0,41.38,2.179
PrivateRoom,LesCorts,11,9.0,3,1.0,54.0,41.391,2.141
EntireHome,Eixample,22,9.0,5,1.0,102.0,41.401,2.175
EntireHome,SantMarti,15,9.0,6,3.0,240.0,41.39,2.196
PrivateRoom,Sarria,7,10.0,2,1.0,53.0,41.394,2.138
EntireHome,CiutatVella,71,9.0,4,2.0,121.0,41.38,2.164
PrivateRoom,CiutatVella,7,10.0,2,1.0,72.0,41.387,2.179
PrivateRoom,SantsMontjuic,6,8.0,1,1.0,36.0,41.358,2.138
EntireHome,Eixample,10,8.0,4,1.0,111.0,41.38,2.158
SharedRoom,Eixample,9,10.0,2,1.0,72.0,41.392,2.154
PrivateRoom,SantsMontjuic,20,9.0,2,1.0,49.0,41.367,2.134
PrivateRoom,Eixample,105,9.0,2,1.0,72.0,41.388,2.16
EntireHome,Eixample,62,8.0,8,3.0,186.0,41.384,2.158
PrivateRoom,SantMarti,41,10.0,2,1.0,66.0,41.396,2.19
PrivateRoom,CiutatVella,125,9.0,2,1.0,102.0,41.38,2.175
EntireHome,SantsMontjuic,8,9.0,5,3.0,72.0,41.376,2.125
EntireHome,Gracia,196,9.0,4,0.0,72.0,41.406,2.151
EntireHome,Gracia,15,9.0,8,3.0,157.0,41.411,2.158
EntireHome,Eixample,4,8.0,4,2.0,139.0,41.409,2.174
PrivateRoom,SantMarti,96,9.0,1,1.0,15.0,41.414,2.187
PrivateRoom,CiutatVella,6,9.0,2,1.0,60.0,41.387,2.181
EntireHome,Eixample,113,10.0,5,2.0,215.0,41.384,2.159
PrivateRoom,Sarria,3,9.0,1,1.0,37.0,41.394,2.147
EntireHome,SantMarti,10,10.0,4,2.0,132.0,41.413,2.191
EntireHome,SantMarti,11,9.0,5,2.0,239.0,41.406,2.219
EntireHome,Eixample,69,10.0,12,4.0,301.0,41.391,2.173
EntireHome,Sarria,79,8.0,4,2.0,123.0,41.393,2.145
PrivateRoom,Gracia,20,8.0,2,1.0,28.0,41.404,2.164
PrivateRoom,Gracia,5,10.0,1,1.0,35.0,41.403,2.166
PrivateRoom,Eixample,56,9.0,2,1.0,39.0,41.399,2.177
PrivateRoom,Gracia,42,9.0,1,1.0,28.0,41.399,2.157
PrivateRoom,NouBarris,5,7.0,2,1.0,42.0,41.432,2.169
EntireHome,Eixample,76,9.0,2,1.0,71.0,41.401,2.181
EntireHome,CiutatVella,9,10.0,2,1.0,157.0,41.378,2.173
PrivateRoom,CiutatVella,25,10.0,2,1.0,36.0,41.381,2.179
EntireHome,Eixample,38,9.0,4,3.0,108.0,41.405,2.177
PrivateRoom,SantsMontjuic,13,9.0,2,1.0,36.0,41.373,2.171
PrivateRoom,Horta,27,9.0,2,1.0,35.0,41.415,2.163
EntireHome,Sarria,20,9.0,4,2.0,164.0,41.393,2.146
EntireHome,Sarria,46,9.0,2,0.0,95.0,41.402,2.147
PrivateRoom,LesCorts,3,7.0,1,0.0,46.0,41.386,2.136
EntireHome,Eixample,3,6.0,8,3.0,175.0,41.378,2.155
PrivateRoom,SantAndreu,9,9.0,1,1.0,27.0,41.421,2.19
EntireHome,Eixample,8,9.0,6,3.0,173.0,41.395,2.165
PrivateRoom,CiutatVella,179,10.0,3,2.0,84.0,41.38,2.172
PrivateRoom,Eixample,3,10.0,2,0.0,90.0,41.396,2.181
EntireHome,Eixample,3,6.0,6,3.0,199.0,41.393,2.159
PrivateRoom,SantsMontjuic,9,10.0,2,1.0,57.0,41.374,2.146
PrivateRoom,SantsMontjuic,3,9.0,4,1.0,21.0,41.38,2.138
PrivateRoom,Eixample,125,9.0,2,1.0,29.0,41.388,2.163
EntireHome,Eixample,124,10.0,8,4.0,216.0,41.395,2.163
PrivateRoom,CiutatVella,85,9.0,2,1.0,72.0,41.385,2.166
PrivateRoom,SantsMontjuic,20,9.0,2,1.0,24.0,41.372,2.143
EntireHome,CiutatVella,6,7.0,5,1.0,157.0,41.378,2.189
EntireHome,Eixample,14,9.0,6,3.0,240.0,41.389,2.166
PrivateRoom,Sarria,17,9.0,3,1.0,54.0,41.411,2.143
PrivateRoom,CiutatVella,4,9.0,2,1.0,54.0,41.381,2.176
EntireHome,SantsMontjuic,109,10.0,5,2.0,114.0,41.371,2.165
EntireHome,Gracia,15,8.0,6,4.0,161.0,41.401,2.165
EntireHome,Gracia,25,8.0,4,2.0,124.0,41.398,2.155
EntireHome,SantsMontjuic,48,9.0,6,3.0,82.0,41.372,2.167
PrivateRoom,SantMarti,40,10.0,2,1.0,30.0,41.412,2.18
EntireHome,Eixample,9,9.0,5,2.0,186.0,41.394,2.174
PrivateRoom,NouBarris,73,9.0,3,2.0,36.0,41.444,2.181
PrivateRoom,Eixample,6,9.0,2,1.0,55.0,41.381,2.151
PrivateRoom,Eixample,17,9.0,2,1.0,25.0,41.383,2.152
EntireHome,SantsMontjuic,9,10.0,5,2.0,114.0,41.372,2.157
EntireHome,CiutatVella,3,10.0,4,1.0,603.0,41.379,2.175
PrivateRoom,SantMarti,10,8.0,2,1.0,45.0,41.417,2.2
EntireHome,Eixample,30,10.0,5,2.0,164.0,41.386,2.151
PrivateRoom,Sarria,9,10.0,1,1.0,24.0,41.401,2.146
PrivateRoom,SantsMontjuic,324,10.0,3,1.0,39.0,41.375,2.169
PrivateRoom,Horta,5,10.0,1,1.0,24.0,41.42,2.179
EntireHome,SantMarti,14,9.0,4,2.0,168.0,41.395,2.189
EntireHome,CiutatVella,16,10.0,2,1.0,111.0,41.385,2.182
EntireHome,CiutatVella,16,9.0,4,1.0,108.0,41.381,2.192
PrivateRoom,SantMarti,8,9.0,1,1.0,64.0,41.405,2.196
EntireHome,Eixample,52,9.0,9,4.0,477.0,41.387,2.164
PrivateRoom,CiutatVella,12,9.0,2,1.0,60.0,41.378,2.167
PrivateRoom,CiutatVella,110,8.0,2,1.0,70.0,41.38,2.175
EntireHome,SantsMontjuic,5,9.0,4,2.0,96.0,41.373,2.164
PrivateRoom,SantsMontjuic,27,9.0,2,1.0,46.0,41.374,2.163
PrivateRoom,SantMarti,51,9.0,1,1.0,36.0,41.412,2.179
EntireHome,Eixample,100,10.0,4,2.0,124.0,41.401,2.18
EntireHome,Eixample,37,9.0,4,2.0,72.0,41.399,2.175
PrivateRoom,CiutatVella,12,10.0,2,1.0,36.0,41.381,2.167
EntireHome,Gracia,20,10.0,3,1.0,145.0,41.398,2.155
EntireHome,Eixample,46,9.0,6,2.0,84.0,41.411,2.175
PrivateRoom,Eixample,4,10.0,2,1.0,39.0,41.386,2.159
PrivateRoom,Eixample,88,9.0,2,1.0,48.0,41.379,2.15
EntireHome,SantsMontjuic,3,8.0,3,2.0,108.0,41.374,2.131
EntireHome,CiutatVella,57,9.0,4,1.0,144.0,41.388,2.179
EntireHome,Eixample,170,10.0,8,3.0,126.0,41.402,2.175
PrivateRoom,Eixample,3,9.0,2,1.0,29.0,41.383,2.159
EntireHome,Horta,5,10.0,3,1.0,84.0,41.424,2.151
EntireHome,Eixample,13,10.0,11,5.0,1025.0,41.393,2.167
PrivateRoom,SantMarti,14,10.0,2,1.0,66.0,41.409,2.215
EntireHome,CiutatVella,67,9.0,4,1.0,101.0,41.39,2.182
PrivateRoom,Eixample,111,9.0,3,1.0,72.0,41.391,2.154
EntireHome,Eixample,35,9.0,5,1.0,131.0,41.383,2.162
PrivateRoom,SantsMontjuic,6,10.0,1,1.0,31.0,41.374,2.157
PrivateRoom,SantsMontjuic,17,10.0,2,1.0,32.0,41.373,2.159
EntireHome,Gracia,4,9.0,6,1.0,132.0,41.413,2.158
PrivateRoom,Eixample,15,10.0,2,1.0,36.0,41.388,2.152
PrivateRoom,Horta,39,8.0,1,1.0,18.0,41.423,2.175
PrivateRoom,NouBarris,20,10.0,2,1.0,36.0,41.448,2.174
PrivateRoom,Eixample,28,9.0,3,2.0,53.0,41.393,2.179
PrivateRoom,Gracia,13,10.0,2,1.0,54.0,41.402,2.164
EntireHome,SantMarti,36,9.0,5,3.0,96.0,41.41,2.186
EntireHome,SantsMontjuic,45,10.0,4,2.0,94.0,41.374,2.164
EntireHome,Gracia,97,10.0,4,2.0,96.0,41.408,2.156
EntireHome,Eixample,11,9.0,5,1.0,159.0,41.393,2.167
EntireHome,Sarria,72,8.0,4,1.0,79.0,41.401,2.119
EntireHome,Eixample,13,8.0,6,3.0,138.0,41.387,2.155
PrivateRoom,SantMarti,17,9.0,2,1.0,27.0,41.414,2.218
PrivateRoom,Eixample,34,9.0,2,1.0,59.0,41.385,2.157
PrivateRoom,SantMarti,21,9.0,2,1.0,45.0,41.41,2.203
PrivateRoom,Gracia,54,8.0,2,1.0,23.0,41.399,2.158
EntireHome,Eixample,43,10.0,3,2.0,114.0,41.395,2.174
EntireHome,Eixample,5,10.0,4,1.0,96.0,41.378,2.156
PrivateRoom,Eixample,27,9.0,4,1.0,72.0,41.395,2.167
PrivateRoom,Eixample,12,10.0,2,1.0,53.0,41.376,2.149
PrivateRoom,Horta,25,10.0,2,1.0,36.0,41.418,2.174
PrivateRoom,Eixample,9,9.0,1,1.0,24.0,41.395,2.17
EntireHome,Eixample,13,9.0,6,3.0,174.0,41.399,2.18
PrivateRoom,NouBarris,6,9.0,2,1.0,66.0,41.444,2.174
EntireHome,Gracia,5,10.0,6,3.0,204.0,41.404,2.17
PrivateRoom,CiutatVella,59,9.0,3,1.0,30.0,41.382,2.172
PrivateRoom,CiutatVella,23,8.0,2,1.0,54.0,41.38,2.172
EntireHome,Eixample,5,10.0,2,1.0,222.0,41.392,2.157
PrivateRoom,SantMarti,70,9.0,2,1.0,41.0,41.412,2.185
PrivateRoom,SantsMontjuic,18,10.0,2,1.0,78.0,41.371,2.134
PrivateRoom,SantsMontjuic,23,10.0,1,1.0,25.0,41.374,2.161
EntireHome,CiutatVella,29,9.0,2,1.0,72.0,41.387,2.182
EntireHome,Eixample,50,9.0,4,1.0,121.0,41.396,2.178
EntireHome,SantMarti,99,10.0,4,1.0,168.0,41.393,2.189
EntireHome,SantsMontjuic,35,9.0,6,2.0,125.0,41.374,2.166
EntireHome,CiutatVella,52,10.0,2,0.0,96.0,41.386,2.178
EntireHome,SantsMontjuic,128,9.0,3,2.0,81.0,41.371,2.149
PrivateRoom,SantMarti,13,9.0,1,1.0,53.0,41.424,2.206
EntireHome,SantsMontjuic,41,9.0,12,6.0,362.0,41.352,2.148
PrivateRoom,Gracia,13,10.0,1,1.0,36.0,41.402,2.16
PrivateRoom,CiutatVella,17,8.0,2,1.0,60.0,41.385,2.178
EntireHome,Eixample,10,10.0,4,2.0,246.0,41.393,2.173
PrivateRoom,Gracia,171,10.0,2,1.0,72.0,41.397,2.16
PrivateRoom,Eixample,110,9.0,2,1.0,54.0,41.394,2.175
EntireHome,Eixample,19,9.0,4,2.0,126.0,41.38,2.153
PrivateRoom,Eixample,4,10.0,3,2.0,90.0,41.394,2.157
EntireHome,Eixample,63,8.0,2,1.0,73.0,41.382,2.155
PrivateRoom,CiutatVella,184,10.0,2,1.0,71.0,41.384,2.172
PrivateRoom,Gracia,12,10.0,2,0.0,59.0,41.403,2.151
EntireHome,SantMarti,12,9.0,8,4.0,276.0,41.409,2.202
PrivateRoom,Eixample,47,10.0,2,1.0,60.0,41.379,2.155
EntireHome,SantAndreu,36,9.0,3,2.0,96.0,41.42,2.182
PrivateRoom,SantMarti,13,9.0,2,1.0,54.0,41.392,2.189
EntireHome,SantMarti,14,9.0,4,2.0,107.0,41.405,2.204
PrivateRoom,SantMarti,62,8.0,1,1.0,18.0,41.414,2.178
EntireHome,CiutatVella,57,8.0,9,6.0,204.0,41.38,2.178
PrivateRoom,Sarria,7,9.0,2,1.0,38.0,41.395,2.142
PrivateRoom,Eixample,20,9.0,1,1.0,37.0,41.382,2.157
PrivateRoom,SantMarti,75,9.0,1,1.0,50.0,41.393,2.19
PrivateRoom,SantsMontjuic,4,9.0,2,1.0,54.0,41.372,2.167
EntireHome,CiutatVella,5,9.0,2,2.0,102.0,41.377,2.17
EntireHome,CiutatVella,30,9.0,4,2.0,114.0,41.378,2.191
PrivateRoom,SantMarti,12,10.0,2,1.0,39.0,41.403,2.204
EntireHome,Gracia,28,9.0,4,1.0,84.0,41.414,2.139
PrivateRoom,SantMarti,5,10.0,1,1.0,48.0,41.414,2.187
PrivateRoom,SantMarti,22,8.0,2,1.0,30.0,41.404,2.198
EntireHome,SantMarti,14,10.0,10,4.0,634.0,41.405,2.216
EntireHome,Eixample,91,9.0,4,1.0,96.0,41.378,2.148
SharedRoom,SantsMontjuic,23,9.0,6,1.0,26.0,41.376,2.134
PrivateRoom,Gracia,11,9.0,2,1.0,84.0,41.401,2.162
