@RELATION overall_satisfaction

@ATTRIBUTE room_type {PrivateRoom,EntireHome,SharedRoom}
@ATTRIBUTE neighborhood {LesCorts,SantsMontjuic,CiutatVella,SantMarti,Gracia,Horta,Sarria,Eixample,SantAndreu,NouBarris}
@ATTRIBUTE reviews NUMERIC
@ATTRIBUTE overall_satisfaction NUMERIC
@ATTRIBUTE accommodates NUMERIC
@ATTRIBUTE bedrooms NUMERIC
@ATTRIBUTE price NUMERIC
@ATTRIBUTE latitude NUMERIC
@ATTRIBUTE longitude NUMERIC

@DATA
PrivateRoom,Gracia,4,9.0,2,1.0,56.0,41.405,2.163
EntireHome,CiutatVella,22,9.0,8,3.0,144.0,41.387,2.196
EntireHome,CiutatVella,80,9.0,4,1.0,144.0,41.387,2.179
PrivateRoom,SantMarti,106,9.0,1,1.0,29.0,41.392,2.189
PrivateRoom,SantMarti,4,10.0,1,1.0,35.0,41.412,2.183
EntireHome,SantMarti,55,9.0,6,3.0,397.0,41.406,2.216
EntireHome,Eixample,61,10.0,5,3.0,114.0,41.403,2.174
EntireHome,Eixample,161,9.0,2,0.0,84.0,41.384,2.159
PrivateRoom,Eixample,7,10.0,2,1.0,35.0,41.397,2.185
EntireHome,Eixample,48,10.0,3,2.0,144.0,41.386,2.159
EntireHome,CiutatVella,83,10.0,4,1.0,102.0,41.391,2.187
EntireHome,Eixample,17,8.0,2,0.0,138.0,41.396,2.182
EntireHome,SantsMontjuic,47,9.0,15,2.0,96.0,41.376,2.14
PrivateRoom,SantsMontjuic,19,9.0,1,1.0,22.0,41.379,2.13
PrivateRoom,SantMarti,9,9.0,2,2.0,54.0,41.412,2.178
EntireHome,Eixample,18,9.0,4,1.0,121.0,41.393,2.175
EntireHome,SantMarti,19,9.0,4,2.0,96.0,41.407,2.187
PrivateRoom,Eixample,79,10.0,2,1.0,41.0,41.405,2.178
EntireHome,Eixample,40,9.0,4,2.0,121.0,41.384,2.159
PrivateRoom,Eixample,17,8.0,2,1.0,44.0,41.393,2.156
EntireHome,NouBarris,4,10.0,2,1.0,102.0,41.428,2.169
PrivateRoom,LesCorts,105,9.0,2,1.0,54.0,41.379,2.125
EntireHome,Gracia,72,10.0,7,3.0,126.0,41.418,2.142
PrivateRoom,Eixample,6,9.0,1,1.0,34.0,41.383,2.16
PrivateRoom,SantsMontjuic,16,10.0,1,1.0,30.0,41.368,2.135
PrivateRoom,CiutatVella,61,9.0,3,1.0,54.0,41.38,2.176
PrivateRoom,SantsMontjuic,50,9.0,2,1.0,34.0,41.368,2.132
PrivateRoom,Eixample,3,8.0,2,1.0,42.0,41.404,2.18
PrivateRoom,SantMarti,4,10.0,2,1.0,23.0,41.416,2.215
EntireHome,SantMarti,9,10.0,4,2.0,82.0,41.391,2.188
PrivateRoom,Sarria,6,8.0,2,1.0,108.0,41.397,2.133
PrivateRoom,SantMarti,3,10.0,1,1.0,24.0,41.424,2.203
EntireHome,Eixample,19,8.0,4,2.0,84.0,41.407,2.171
PrivateRoom,Gracia,34,9.0,2,1.0,82.0,41.403,2.157
PrivateRoom,Eixample,4,9.0,2,1.0,72.0,41.403,2.183
PrivateRoom,Eixample,51,10.0,2,1.0,48.0,41.398,2.18
PrivateRoom,SantMarti,7,9.0,2,1.0,36.0,41.413,2.214
EntireHome,Eixample,14,9.0,6,2.0,204.0,41.384,2.162
EntireHome,Gracia,3,10.0,4,3.0,132.0,41.399,2.158
PrivateRoom,CiutatVella,3,8.0,2,1.0,60.0,41.378,2.173
PrivateRoom,Gracia,23,9.0,2,1.0,36.0,41.412,2.15
EntireHome,Eixample,9,9.0,6,3.0,348.0,41.38,2.146
PrivateRoom,CiutatVella,11,9.0,2,1.0,54.0,41.376,2.173
PrivateRoom,CiutatVella,20,10.0,2,1.0,72.0,41.382,2.178
PrivateRoom,CiutatVella,9,8.0,2,1.0,72.0,41.378,2.172
EntireHome,CiutatVella,4,9.0,2,0.0,163.0,41.388,2.18
PrivateRoom,CiutatVella,247,9.0,2,1.0,35.0,41.386,2.165
PrivateRoom,Gracia,35,10.0,2,1.0,45.0,41.404,2.158
EntireHome,CiutatVella,56,7.0,2,1.0,71.0,41.378,2.166
EntireHome,LesCorts,3,9.0,8,4.0,77.0,41.381,2.127
EntireHome,Sarria,11,9.0,5,3.0,107.0,41.406,2.148
PrivateRoom,Sarria,34,9.0,2,1.0,72.0,41.408,2.148
EntireHome,CiutatVella,47,9.0,8,3.0,168.0,41.386,2.184
PrivateRoom,CiutatVella,48,9.0,2,1.0,50.0,41.385,2.185
PrivateRoom,SantsMontjuic,8,10.0,2,1.0,48.0,41.373,2.156
PrivateRoom,Eixample,46,9.0,1,1.0,27.0,41.378,2.161
PrivateRoom,Eixample,39,10.0,2,1.0,41.0,41.384,2.159
PrivateRoom,Gracia,68,9.0,2,1.0,36.0,41.399,2.16
EntireHome,Sarria,28,10.0,4,2.0,174.0,41.4,2.152
EntireHome,CiutatVella,25,9.0,2,0.0,108.0,41.38,2.167
PrivateRoom,Eixample,18,10.0,2,1.0,60.0,41.392,2.179
PrivateRoom,CiutatVella,75,9.0,2,1.0,102.0,41.378,2.177
PrivateRoom,SantsMontjuic,10,10.0,2,1.0,96.0,41.371,2.149
PrivateRoom,CiutatVella,39,9.0,2,1.0,72.0,41.38,2.176
EntireHome,Sarria,184,10.0,10,4.0,144.0,41.409,2.146
EntireHome,CiutatVella,6,9.0,4,0.0,210.0,41.383,2.183
EntireHome,Eixample,64,9.0,4,2.0,199.0,41.404,2.174
EntireHome,SantMarti,20,9.0,10,6.0,451.0,41.386,2.199
PrivateRoom,CiutatVella,26,10.0,2,1.0,61.0,41.387,2.181
PrivateRoom,CiutatVella,46,9.0,2,1.0,72.0,41.387,2.184
EntireHome,CiutatVella,55,8.0,3,0.0,144.0,41.387,2.179
PrivateRoom,Eixample,26,9.0,2,1.0,60.0,41.389,2.16
EntireHome,CiutatVella,30,9.0,5,1.0,84.0,41.379,2.169
EntireHome,Eixample,14,9.0,6,4.0,144.0,41.388,2.156
EntireHome,Gracia,19,8.0,6,1.0,143.0,41.412,2.159
PrivateRoom,SantsMontjuic,5,10.0,2,1.0,50.0,41.372,2.163
EntireHome,Eixample,7,8.0,8,3.0,78.0,41.403,2.179
PrivateRoom,Gracia,4,6.0,1,1.0,31.0,41.403,2.159
PrivateRoom,CiutatVella,3,10.0,1,1.0,60.0,41.389,2.18
EntireHome,Eixample,4,9.0,7,4.0,216.0,41.381,2.153
PrivateRoom,Gracia,5,10.0,2,3.0,66.0,41.406,2.166
EntireHome,SantsMontjuic,64,9.0,6,3.0,235.0,41.376,2.136
PrivateRoom,SantsMontjuic,40,10.0,1,1.0,42.0,41.372,2.143
PrivateRoom,Eixample,3,9.0,1,1.0,42.0,41.39,2.152
EntireHome,SantMarti,33,10.0,6,3.0,116.0,41.403,2.206
SharedRoom,Eixample,13,9.0,6,1.0,29.0,41.391,2.154
EntireHome,LesCorts,11,10.0,5,2.0,132.0,41.384,2.133
PrivateRoom,SantsMontjuic,27,9.0,2,1.0,84.0,41.373,2.164
EntireHome,Eixample,13,9.0,6,2.0,157.0,41.382,2.161
EntireHome,SantMarti,13,9.0,6,3.0,235.0,41.39,2.198
EntireHome,Eixample,232,10.0,2,1.0,102.0,41.397,2.171
EntireHome,Eixample,53,9.0,5,3.0,108.0,41.383,2.162
EntireHome,Gracia,27,8.0,2,1.0,87.0,41.411,2.158
EntireHome,SantMarti,85,9.0,8,4.0,90.0,41.422,2.206
PrivateRoom,SantMarti,4,9.0,2,1.0,45.0,41.419,2.213
EntireHome,Eixample,108,10.0,16,6.0,390.0,41.398,2.163
PrivateRoom,SantMarti,7,10.0,2,1.0,52.0,41.392,2.188
PrivateRoom,Eixample,53,9.0,1,1.0,34.0,41.38,2.152
PrivateRoom,CiutatVella,44,9.0,4,2.0,30.0,41.381,2.18
PrivateRoom,SantMarti,12,9.0,1,1.0,28.0,41.423,2.197
EntireHome,CiutatVella,12,9.0,4,2.0,240.0,41.377,2.177
EntireHome,SantsMontjuic,54,9.0,2,1.0,102.0,41.373,2.136
PrivateRoom,Eixample,152,9.0,2,1.0,22.0,41.391,2.151
PrivateRoom,CiutatVella,62,9.0,2,1.0,42.0,41.382,2.172
PrivateRoom,Eixample,5,10.0,2,1.0,72.0,41.387,2.162
PrivateRoom,SantMarti,10,10.0,2,1.0,39.0,41.391,2.184
EntireHome,SantsMontjuic,148,9.0,4,1.0,101.0,41.374,2.165
EntireHome,CiutatVella,18,8.0,2,1.0,104.0,41.388,2.182
PrivateRoom,Sarria,11,10.0,1,1.0,30.0,41.399,2.125
EntireHome,LesCorts,78,9.0,8,4.0,121.0,41.384,2.136
EntireHome,Eixample,12,9.0,6,2.0,121.0,41.386,2.158
PrivateRoom,Eixample,4,9.0,2,1.0,60.0,41.39,2.16
EntireHome,SantsMontjuic,4,10.0,6,3.0,71.0,41.374,2.167
EntireHome,SantsMontjuic,174,10.0,4,1.0,144.0,41.371,2.16
EntireHome,SantsMontjuic,93,10.0,3,1.0,121.0,41.372,2.163
EntireHome,CiutatVella,9,10.0,6,2.0,108.0,41.383,2.175
EntireHome,Eixample,56,10.0,8,5.0,157.0,41.391,2.173
PrivateRoom,SantMarti,26,10.0,2,1.0,30.0,41.411,2.206
PrivateRoom,Horta,5,10.0,2,1.0,36.0,41.424,2.151
EntireHome,SantsMontjuic,83,10.0,4,2.0,408.0,41.373,2.136
EntireHome,Gracia,139,9.0,4,2.0,72.0,41.403,2.168
PrivateRoom,Eixample,3,9.0,1,1.0,30.0,41.395,2.176
PrivateRoom,CiutatVella,12,9.0,2,1.0,60.0,41.378,2.17
EntireHome,CiutatVella,215,9.0,2,1.0,102.0,41.383,2.183
PrivateRoom,Eixample,73,10.0,2,1.0,66.0,41.381,2.153
EntireHome,Eixample,50,9.0,4,3.0,121.0,41.382,2.163
PrivateRoom,CiutatVella,68,9.0,2,1.0,60.0,41.381,2.176
EntireHome,Eixample,105,9.0,6,4.0,204.0,41.385,2.145
EntireHome,Eixample,96,9.0,4,2.0,132.0,41.384,2.164
PrivateRoom,Eixample,32,10.0,2,1.0,67.0,41.411,2.176
PrivateRoom,SantMarti,44,9.0,2,1.0,38.0,41.412,2.198
PrivateRoom,Horta,5,9.0,2,1.0,20.0,41.413,2.174
PrivateRoom,Eixample,5,9.0,1,1.0,37.0,41.401,2.168
EntireHome,Eixample,42,9.0,5,2.0,144.0,41.41,2.175
PrivateRoom,CiutatVella,47,9.0,2,1.0,72.0,41.388,2.184
PrivateRoom,Eixample,13,9.0,2,1.0,36.0,41.405,2.175
EntireHome,Eixample,3,8.0,6,2.0,108.0,41.4,2.174
PrivateRoom,Eixample,77,10.0,2,1.0,53.0,41.396,2.175
PrivateRoom,CiutatVella,3,8.0,2,1.0,29.0,41.378,2.172
PrivateRoom,Sarria,11,7.0,2,1.0,42.0,41.405,2.139
EntireHome,Eixample,102,8.0,10,4.0,121.0,41.393,2.156
PrivateRoom,LesCorts,21,10.0,1,1.0,24.0,41.382,2.133
EntireHome,SantsMontjuic,58,9.0,4,2.0,90.0,41.375,2.166
PrivateRoom,Eixample,130,10.0,2,1.0,54.0,41.4,2.178
EntireHome,SantsMontjuic,36,8.0,3,1.0,103.0,41.373,2.132
PrivateRoom,SantMarti,6,8.0,2,1.0,36.0,41.411,2.186
PrivateRoom,CiutatVella,50,10.0,2,1.0,84.0,41.38,2.166
EntireHome,CiutatVella,17,9.0,6,2.0,481.0,41.382,2.173
PrivateRoom,CiutatVella,8,9.0,2,1.0,36.0,41.38,2.165
EntireHome,CiutatVella,162,9.0,4,1.0,108.0,41.379,2.177
EntireHome,Eixample,6,10.0,6,3.0,144.0,41.396,2.177
EntireHome,Horta,42,9.0,4,2.0,82.0,41.425,2.153
EntireHome,SantMarti,20,9.0,4,2.0,139.0,41.401,2.204
PrivateRoom,Gracia,23,10.0,1,1.0,53.0,41.41,2.149
EntireHome,Gracia,55,9.0,6,2.0,106.0,41.406,2.157
EntireHome,Eixample,84,10.0,5,3.0,107.0,41.402,2.175
EntireHome,Eixample,28,9.0,6,2.0,210.0,41.405,2.175
PrivateRoom,Gracia,3,10.0,2,1.0,43.0,41.403,2.157
EntireHome,Gracia,87,8.0,2,2.0,138.0,41.405,2.156
PrivateRoom,Eixample,79,9.0,1,1.0,23.0,41.376,2.164
EntireHome,SantsMontjuic,7,8.0,4,2.0,150.0,41.372,2.165
PrivateRoom,Horta,15,10.0,3,1.0,48.0,41.419,2.174
PrivateRoom,Eixample,7,8.0,1,1.0,38.0,41.401,2.173
EntireHome,NouBarris,21,9.0,4,2.0,96.0,41.429,2.182
EntireHome,CiutatVella,6,9.0,3,2.0,78.0,41.376,2.171
PrivateRoom,Eixample,52,9.0,2,1.0,53.0,41.381,2.163
EntireHome,SantsMontjuic,4,9.0,7,3.0,331.0,41.375,2.143
EntireHome,CiutatVella,10,9.0,2,1.0,121.0,41.388,2.179
EntireHome,SantsMontjuic,16,9.0,4,1.0,74.0,41.373,2.135
PrivateRoom,SantsMontjuic,31,9.0,1,0.0,30.0,41.374,2.147
EntireHome,CiutatVella,12,9.0,4,2.0,157.0,41.383,2.173
PrivateRoom,Eixample,13,9.0,2,1.0,48.0,41.383,2.162
PrivateRoom,Eixample,3,8.0,1,1.0,20.0,41.407,2.174
EntireHome,Gracia,35,10.0,2,1.0,132.0,41.401,2.156
EntireHome,SantsMontjuic,13,9.0,3,2.0,144.0,41.374,2.163
PrivateRoom,CiutatVella,38,9.0,2,1.0,71.0,41.379,2.175
EntireHome,Eixample,9,9.0,4,2.0,240.0,41.388,2.151
PrivateRoom,SantMarti,9,10.0,2,1.0,46.0,41.409,2.194
EntireHome,CiutatVella,21,9.0,4,1.0,121.0,41.378,2.171
EntireHome,CiutatVella,7,9.0,5,2.0,150.0,41.386,2.181
PrivateRoom,Eixample,3,8.0,1,1.0,30.0,41.4,2.182
EntireHome,SantsMontjuic,82,9.0,4,2.0,108.0,41.371,2.165
EntireHome,Gracia,6,9.0,6,3.0,132.0,41.404,2.155
PrivateRoom,SantsMontjuic,58,9.0,2,1.0,48.0,41.373,2.167
EntireHome,Eixample,3,9.0,9,5.0,481.0,41.387,2.165
PrivateRoom,Sarria,4,6.0,2,1.0,46.0,41.396,2.142
EntireHome,CiutatVella,76,10.0,4,2.0,143.0,41.382,2.177
EntireHome,SantMarti,20,9.0,4,1.0,66.0,41.4,2.206
PrivateRoom,Eixample,4,10.0,1,1.0,43.0,41.404,2.18
EntireHome,Eixample,11,9.0,2,1.0,96.0,41.401,2.179
PrivateRoom,Gracia,3,10.0,2,1.0,84.0,41.402,2.161
PrivateRoom,CiutatVella,44,10.0,2,1.0,34.0,41.378,2.174
EntireHome,SantsMontjuic,63,9.0,4,2.0,106.0,41.373,2.172
EntireHome,SantsMontjuic,32,9.0,6,2.0,102.0,41.371,2.144
EntireHome,CiutatVella,18,9.0,2,1.0,301.0,41.388,2.177
EntireHome,Eixample,8,9.0,4,1.0,180.0,41.391,2.164
PrivateRoom,LesCorts,47,9.0,2,1.0,28.0,41.381,2.127
PrivateRoom,SantsMontjuic,44,9.0,2,1.0,24.0,41.375,2.159
PrivateRoom,SantsMontjuic,68,10.0,2,1.0,81.0,41.381,2.139
PrivateRoom,Eixample,4,9.0,1,1.0,54.0,41.382,2.148
PrivateRoom,SantMarti,5,9.0,1,1.0,35.0,41.407,2.185
EntireHome,Eixample,9,10.0,10,5.0,324.0,41.377,2.164
PrivateRoom,Eixample,34,9.0,2,1.0,42.0,41.406,2.172
EntireHome,CiutatVella,36,9.0,3,0.0,108.0,41.38,2.174
EntireHome,CiutatVella,3,7.0,6,2.0,222.0,41.379,2.169
PrivateRoom,Eixample,5,8.0,2,1.0,36.0,41.398,2.171
EntireHome,Eixample,19,9.0,10,4.0,361.0,41.378,2.158
PrivateRoom,SantMarti,87,8.0,2,1.0,18.0,41.412,2.195
EntireHome,Eixample,40,9.0,6,3.0,287.0,41.383,2.155
PrivateRoom,CiutatVella,145,10.0,1,1.0,37.0,41.384,2.18
PrivateRoom,Sarria,9,10.0,2,1.0,50.0,41.397,2.146
PrivateRoom,Eixample,3,6.0,1,1.0,30.0,41.402,2.179
PrivateRoom,CiutatVella,55,9.0,4,1.0,36.0,41.382,2.18
PrivateRoom,Eixample,14,10.0,2,1.0,46.0,41.39,2.15
PrivateRoom,Sarria,26,10.0,2,1.0,50.0,41.406,2.146
EntireHome,Gracia,14,10.0,4,2.0,121.0,41.404,2.166
EntireHome,Eixample,12,8.0,2,1.0,89.0,41.385,2.154
PrivateRoom,CiutatVella,23,9.0,2,1.0,39.0,41.376,2.171
PrivateRoom,Gracia,19,10.0,2,1.0,42.0,41.409,2.161
PrivateRoom,Gracia,45,10.0,2,1.0,54.0,41.398,2.161
EntireHome,Eixample,83,9.0,3,2.0,96.0,41.391,2.15
PrivateRoom,SantsMontjuic,7,9.0,2,1.0,36.0,41.368,2.144
EntireHome,Gracia,4,10.0,4,2.0,180.0,41.416,2.148
PrivateRoom,Eixample,11,9.0,2,1.0,48.0,41.38,2.147
PrivateRoom,Eixample,4,9.0,2,1.0,64.0,41.406,2.177
PrivateRoom,SantsMontjuic,65,9.0,1,1.0,28.0,41.372,2.144
PrivateRoom,SantMarti,11,9.0,2,1.0,54.0,41.403,2.208
EntireHome,Eixample,4,9.0,4,1.0,108.0,41.392,2.154
EntireHome,CiutatVella,11,9.0,4,2.0,117.0,41.38,2.189
EntireHome,CiutatVella,105,8.0,2,1.0,42.0,41.384,2.179
EntireHome,SantMarti,4,10.0,4,1.0,160.0,41.402,2.207
PrivateRoom,SantMarti,10,8.0,2,1.0,42.0,41.415,2.217
PrivateRoom,Gracia,18,10.0,1,1.0,36.0,41.41,2.164
EntireHome,Horta,49,9.0,3,1.0,66.0,41.42,2.159
EntireHome,Gracia,74,9.0,4,1.0,61.0,41.401,2.156
EntireHome,Eixample,6,9.0,8,4.0,195.0,41.38,2.153
EntireHome,Eixample,62,8.0,2,1.0,74.0,41.382,2.154
EntireHome,Sarria,186,9.0,5,2.0,107.0,41.397,2.148
PrivateRoom,NouBarris,13,10.0,1,1.0,24.0,41.46,2.179
PrivateRoom,CiutatVella,8,9.0,2,1.0,56.0,41.389,2.18
EntireHome,Eixample,52,9.0,6,2.0,118.0,41.406,2.172
EntireHome,CiutatVella,21,9.0,2,1.0,99.0,41.385,2.182
EntireHome,Eixample,25,8.0,4,1.0,72.0,41.384,2.155
PrivateRoom,SantsMontjuic,63,9.0,2,1.0,32.0,41.373,2.161
EntireHome,Eixample,7,9.0,6,3.0,170.0,41.383,2.162
PrivateRoom,SantsMontjuic,10,10.0,2,1.0,48.0,41.375,2.133
EntireHome,SantsMontjuic,17,9.0,5,2.0,84.0,41.376,2.136
PrivateRoom,CiutatVella,152,9.0,2,1.0,48.0,41.38,2.18
EntireHome,Eixample,174,9.0,3,1.0,66.0,41.406,2.177
EntireHome,CiutatVella,11,9.0,4,2.0,180.0,41.383,2.181
PrivateRoom,SantsMontjuic,4,10.0,2,1.0,44.0,41.375,2.126
EntireHome,Gracia,4,10.0,2,1.0,108.0,41.409,2.156
EntireHome,Eixample,10,9.0,8,4.0,451.0,41.388,2.172
PrivateRoom,Gracia,12,9.0,2,1.0,54.0,41.413,2.147
EntireHome,Eixample,283,9.0,5,1.0,121.0,41.389,2.174
PrivateRoom,Eixample,37,9.0,2,1.0,48.0,41.387,2.162
PrivateRoom,SantsMontjuic,59,9.0,2,1.0,48.0,41.374,2.161
PrivateRoom,SantsMontjuic,47,9.0,2,1.0,36.0,41.373,2.16
PrivateRoom,CiutatVella,7,9.0,2,1.0,38.0,41.385,2.171
PrivateRoom,Gracia,15,9.0,1,1.0,30.0,41.403,2.155
EntireHome,Gracia,12,8.0,2,1.0,95.0,41.405,2.157
PrivateRoom,Gracia,34,10.0,1,1.0,48.0,41.399,2.16
EntireHome,Gracia,22,9.0,4,2.0,178.0,41.401,2.159
PrivateRoom,Eixample,10,10.0,2,1.0,80.0,41.399,2.174
PrivateRoom,CiutatVella,98,8.0,3,1.0,36.0,41.382,2.166
PrivateRoom,SantsMontjuic,4,10.0,3,1.0,39.0,41.375,2.164
PrivateRoom,Eixample,34,9.0,1,1.0,28.0,41.4,2.176
PrivateRoom,CiutatVella,14,9.0,2,1.0,39.0,41.384,2.183
EntireHome,CiutatVella,47,9.0,10,4.0,307.0,41.379,2.171
EntireHome,SantMarti,22,9.0,6,3.0,469.0,41.403,2.212
PrivateRoom,CiutatVella,32,9.0,2,1.0,72.0,41.379,2.175
EntireHome,CiutatVella,24,10.0,4,2.0,158.0,41.386,2.173
EntireHome,Eixample,5,7.0,10,4.0,515.0,41.388,2.166
PrivateRoom,Eixample,16,9.0,2,1.0,35.0,41.404,2.178
PrivateRoom,CiutatVella,72,9.0,2,1.0,60.0,41.388,2.176
PrivateRoom,CiutatVella,95,10.0,2,1.0,54.0,41.386,2.165
PrivateRoom,Horta,50,10.0,2,1.0,30.0,41.417,2.157
PrivateRoom,CiutatVella,54,10.0,2,1.0,70.0,41.378,2.166
EntireHome,Gracia,62,9.0,4,1.0,96.0,41.399,2.157
PrivateRoom,Eixample,19,8.0,2,1.0,48.0,41.393,2.154
PrivateRoom,SantMarti,98,10.0,2,1.0,32.0,41.414,2.187
EntireHome,SantMarti,102,10.0,4,2.0,157.0,41.4,2.201
PrivateRoom,Horta,12,10.0,2,1.0,99.0,41.412,2.163
EntireHome,Eixample,19,10.0,9,5.0,396.0,41.4,2.173
PrivateRoom,Eixample,5,9.0,2,1.0,66.0,41.376,2.161
PrivateRoom,Gracia,6,9.0,2,1.0,42.0,41.407,2.155
PrivateRoom,CiutatVella,9,8.0,1,1.0,54.0,41.388,2.176
EntireHome,Sarria,10,9.0,9,4.0,420.0,41.4,2.139
EntireHome,SantsMontjuic,30,10.0,2,1.0,72.0,41.373,2.167
EntireHome,Sarria,33,10.0,4,1.0,114.0,41.41,2.14
EntireHome,Eixample,7,8.0,6,4.0,150.0,41.394,2.169
EntireHome,CiutatVella,24,9.0,8,3.0,216.0,41.376,2.169
EntireHome,SantMarti,16,9.0,4,3.0,118.0,41.424,2.208
PrivateRoom,SantMarti,3,9.0,2,1.0,58.0,41.399,2.207
PrivateRoom,CiutatVella,76,10.0,2,1.0,72.0,41.386,2.172
PrivateRoom,Gracia,39,10.0,2,1.0,38.0,41.403,2.159
PrivateRoom,CiutatVella,45,9.0,2,1.0,43.0,41.382,2.187
EntireHome,CiutatVella,32,9.0,4,2.0,113.0,41.386,2.182
PrivateRoom,SantsMontjuic,61,8.0,2,1.0,34.0,41.371,2.136
PrivateRoom,Eixample,17,10.0,2,1.0,74.0,41.406,2.179
EntireHome,Gracia,11,10.0,10,4.0,301.0,41.4,2.157
PrivateRoom,Eixample,253,10.0,4,1.0,75.0,41.399,2.184
PrivateRoom,Horta,7,9.0,1,1.0,43.0,41.412,2.173
EntireHome,Gracia,17,9.0,5,3.0,177.0,41.402,2.166
PrivateRoom,CiutatVella,13,9.0,2,1.0,30.0,41.379,2.165
PrivateRoom,Eixample,4,10.0,2,1.0,34.0,41.384,2.158
EntireHome,Eixample,6,10.0,2,2.0,121.0,41.386,2.153
EntireHome,SantsMontjuic,4,10.0,3,2.0,72.0,41.373,2.161
EntireHome,Gracia,6,10.0,8,2.0,84.0,41.4,2.153
PrivateRoom,Eixample,16,9.0,2,1.0,49.0,41.38,2.158
EntireHome,Sarria,4,10.0,7,4.0,265.0,41.396,2.151
EntireHome,SantsMontjuic,12,9.0,5,3.0,108.0,41.382,2.138
PrivateRoom,Sarria,14,10.0,1,1.0,54.0,41.41,2.143
EntireHome,CiutatVella,74,9.0,2,1.0,118.0,41.379,2.179
EntireHome,SantMarti,53,9.0,4,1.0,132.0,41.396,2.189
EntireHome,CiutatVella,4,2.0,8,4.0,603.0,41.379,2.177
EntireHome,Eixample,7,8.0,4,2.0,96.0,41.399,2.17
PrivateRoom,Eixample,15,9.0,2,1.0,79.0,41.406,2.183
EntireHome,Gracia,6,10.0,4,2.0,107.0,41.403,2.163
EntireHome,Sarria,5,9.0,4,2.0,121.0,41.396,2.124
EntireHome,Eixample,10,8.0,4,1.0,121.0,41.401,2.175
PrivateRoom,Eixample,5,10.0,2,1.0,64.0,41.389,2.155
EntireHome,Eixample,43,9.0,4,1.0,45.0,41.386,2.148
SharedRoom,Eixample,50,9.0,6,1.0,29.0,41.392,2.153
PrivateRoom,Horta,13,10.0,1,1.0,24.0,41.413,2.164
EntireHome,CiutatVella,25,10.0,2,1.0,216.0,41.38,2.171
PrivateRoom,LesCorts,9,9.0,2,1.0,60.0,41.389,2.143
PrivateRoom,Eixample,89,9.0,3,1.0,60.0,41.387,2.17
EntireHome,Eixample,54,9.0,5,1.0,144.0,41.396,2.176
PrivateRoom,CiutatVella,3,9.0,2,1.0,60.0,41.39,2.178
PrivateRoom,Eixample,19,9.0,2,1.0,72.0,41.387,2.166
EntireHome,Eixample,10,9.0,6,2.0,118.0,41.395,2.163
PrivateRoom,CiutatVella,6,10.0,2,1.0,48.0,41.386,2.178
EntireHome,Eixample,26,8.0,8,3.0,136.0,41.388,2.144
EntireHome,NouBarris,10,8.0,5,3.0,157.0,41.443,2.179
EntireHome,SantsMontjuic,23,9.0,2,2.0,78.0,41.371,2.148
PrivateRoom,Eixample,36,9.0,2,1.0,60.0,41.384,2.155
EntireHome,CiutatVella,43,10.0,8,4.0,694.0,41.389,2.178
PrivateRoom,SantsMontjuic,64,10.0,2,1.0,32.0,41.37,2.138
PrivateRoom,Gracia,11,9.0,1,1.0,30.0,41.41,2.15
PrivateRoom,Eixample,40,9.0,2,1.0,78.0,41.386,2.162
PrivateRoom,SantsMontjuic,8,10.0,1,1.0,30.0,41.36,2.138
PrivateRoom,SantMarti,3,10.0,2,1.0,36.0,41.392,2.189
EntireHome,Eixample,23,10.0,6,3.0,475.0,41.391,2.157
EntireHome,SantMarti,11,10.0,8,4.0,384.0,41.39,2.191
EntireHome,Sarria,12,9.0,5,2.0,90.0,41.398,2.125
EntireHome,Eixample,5,10.0,4,2.0,240.0,41.391,2.166
EntireHome,Gracia,5,10.0,4,1.0,114.0,41.4,2.157
EntireHome,CiutatVella,42,9.0,4,1.0,72.0,41.382,2.167
EntireHome,SantsMontjuic,10,9.0,4,2.0,70.0,41.367,2.132
PrivateRoom,SantsMontjuic,8,10.0,2,1.0,42.0,41.372,2.132
PrivateRoom,CiutatVella,86,9.0,2,1.0,12.0,41.381,2.172
PrivateRoom,SantMarti,11,10.0,2,1.0,59.0,41.42,2.213
EntireHome,Eixample,9,10.0,7,3.0,216.0,41.376,2.165
PrivateRoom,LesCorts,15,8.0,3,1.0,54.0,41.385,2.13
EntireHome,Gracia,6,9.0,6,2.0,144.0,41.404,2.17
EntireHome,Eixample,21,8.0,6,2.0,110.0,41.404,2.178
PrivateRoom,SantMarti,34,9.0,1,1.0,28.0,41.417,2.212
PrivateRoom,LesCorts,25,9.0,2,1.0,60.0,41.387,2.138
EntireHome,Eixample,41,9.0,5,3.0,102.0,41.379,2.151
PrivateRoom,CiutatVella,8,9.0,1,1.0,29.0,41.384,2.17
EntireHome,SantMarti,3,10.0,10,4.0,597.0,41.41,2.217
PrivateRoom,Eixample,103,10.0,3,1.0,57.0,41.387,2.161
PrivateRoom,SantMarti,33,9.0,1,1.0,30.0,41.414,2.182
PrivateRoom,SantsMontjuic,26,9.0,2,1.0,27.0,41.371,2.145
PrivateRoom,SantAndreu,13,9.0,1,1.0,42.0,41.427,2.18
PrivateRoom,CiutatVella,9,10.0,2,1.0,84.0,41.379,2.166
PrivateRoom,SantMarti,5,10.0,2,1.0,66.0,41.401,2.203
EntireHome,Horta,21,9.0,16,6.0,481.0,41.415,2.177
